Relativzeit;Datum;Absolutzeit;Every cycle;CW_DEVICE_READY;CW_NO_READ;CW_GOOD_READ;CW_EXTERNAL_OUTPUT_1;CW_EXTERNAL_OUTPUT_2;CW_RESULT_1;CW_RESULT_2;CW_SYSTEM_READY;CW_EXTERNAL_INPUT_1;CW_EXTERNAL_INPUT_2;CW_SENSOR_1;CW_SENSOR_2;CW_RESERVED_02;CW_RESERVED_03;CW_TRIGGER_SENSOR_NO;CW_TRIGGER_SENSOR_NC;GOOD_READ;NO_READ;DEVICE_READY;SYSTEM_READY;ATR_DO_STATE;HEAD_01;HEAD_03;HEAD_04;HEAD_05;DATA_01;DATA_02;DATA_03;DATA_04;DATA_05;DATA_06;DATA_07;DATA_08;DATA_09;DATA_10;DATA_11;DATA_12;DATA_13;DATA_14;DATA_15;DATA_16;DATA_17;DATA_18;DATA_19;DATA_20;DATA_21;DATA_22;DATA_23;DATA_24;DATA_25;DATA_26;DATA_27;ATR.IN.HEADER.RESERVED_05;ATR.IN.HEADER.BUFFER_OVERRUN;ATR.IN.HEADER.RESERVED_04;ATR.IN.HEADER.RESERVED_03;ATR.IN.HEADER.PLCERROR;ATR.IN.HEADER.HEARTBEAT;ATR.IN.HEADER.RESERVED_02;ATR.IN.HEADER.RESERVED_01;ATR.IN.HEADER.TRANSMIT_COUNT_BACK_B;ATR.IN.HEADER.RECIEVE_LENGTH_LSB_B;ATR.IN.HEADER.RECIEVE_LENGTH_MSB_B;ATR.IN.HEADER.RECIEVE_COUNT_B;BARCODE_AC[1];BARCODE_AC[2];BARCODE_AC[3];BARCODE_AC[4];BARCODE_AC[5];BARCODE_AC[6];BARCODE_AC[7];BARCODE_AC[8];BARCODE_AC[9];BARCODE_AC[10];BARCODE_AC[11];BARCODE_AC[12];Semicolon;B_BARCODE_AC[1];B_BARCODE_AC[2];B_BARCODE_AC[3];B_BARCODE_AC[4];B_BARCODE_AC[5];B_BARCODE_AC[6];B_BARCODE_AC[7];B_BARCODE_AC[8];B_BARCODE_AC[9];B_BARCODE_AC[10];B_BARCODE_AC[11];B_BARCODE_AC[12];TG_B.STATUS;xray_machine_ok;xray_ready;xray_power_on;Trigger;Fehler
7788;13.03.2020;10:18:43.788;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
7821;13.03.2020;10:18:43.821;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
8800;13.03.2020;10:18:44.800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
9774;13.03.2020;10:18:45.774;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
9807;13.03.2020;10:18:45.807;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
10804;13.03.2020;10:18:46.804;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
11808;13.03.2020;10:18:47.808;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
12813;13.03.2020;10:18:48.813;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
13796;13.03.2020;10:18:49.796;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
13831;13.03.2020;10:18:49.831;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
14811;13.03.2020;10:18:50.811;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
14909;13.03.2020;10:18:50.909;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
15778;13.03.2020;10:18:51.778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
15809;13.03.2020;10:18:51.809;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;25;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
16118;13.03.2020;10:18:52.118;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
16151;13.03.2020;10:18:52.151;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
16803;13.03.2020;10:18:52.803;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
17805;13.03.2020;10:18:53.805;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
18812;13.03.2020;10:18:54.812;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
19815;13.03.2020;10:18:55.815;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
20800;13.03.2020;10:18:56.800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
21796;13.03.2020;10:18:57.796;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
21828;13.03.2020;10:18:57.828;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
22799;13.03.2020;10:18:58.799;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
23773;13.03.2020;10:18:59.773;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
23807;13.03.2020;10:18:59.807;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
24778;13.03.2020;10:19:00.778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
24813;13.03.2020;10:19:00.813;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
25810;13.03.2020;10:19:01.810;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
26806;13.03.2020;10:19:02.806;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
27796;13.03.2020;10:19:03.796;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
27827;13.03.2020;10:19:03.827;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
28803;13.03.2020;10:19:04.803;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
28838;13.03.2020;10:19:04.838;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
29480;13.03.2020;10:19:05.480;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
29643;13.03.2020;10:19:05.643;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
29773;13.03.2020;10:19:05.773;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
29809;13.03.2020;10:19:05.809;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
30805;13.03.2020;10:19:06.805;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
31797;13.03.2020;10:19:07.797;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
32796;13.03.2020;10:19:08.796;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
33802;13.03.2020;10:19:09.802;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
34794;13.03.2020;10:19:10.794;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
34828;13.03.2020;10:19:10.828;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
35788;13.03.2020;10:19:11.788;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
35824;13.03.2020;10:19:11.824;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;26;63;63;63;63;63;63;63;63;63;63;32;32;59;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
