Relativzeit;Datum;Absolutzeit;MACHINE_OK_XB1.190_XR;CODE_REQ_XB1.190_XR;XRAY_READY_XB1.190_XR;SPEED_OK_XB1.190_XR;SPARE_I80.4_XB1.190_XR;POWER_ON_XB1.190_XR;REPAIR_SWITCH_XB1.190_XR;SERVICE_MODE_XB1.190_XR;TRANSIT_MODE_XB1.190_XR;NO_SCAN_ACT_XB1.190_XR;LS3_XB1.190_XR;SPARE_I81.3_XB1.190_XR;ES_RESET_XB1.190_XR;SPARE_I81.5_XB1.190_XR;SPARE_I81.6_XB1.190_XR;SPARE_I81.7_XB1.190_XR;LS0_XB1.190_XR;LS1_XB1.190_XR;SPARE_I82.2_XB1.190_XR;SPARE_I82.3_XB1.190_XR;LS4_XB1.190_XR;SPARE_I82.5_XB1.190_XR;SPARE_I82.6_XB1.190_XR;XB1.190_ESB11-15;IB 512;IB 513;IB 514;IB 515;IB 516;IB 517;IB 518;IB 519;IB 520;IB 521;IB 522;IB 523;IB 524;IB 525;IB 526;IB 527;IB 528;IB 529;IB 530;IB 531;QB 512;QB 513;QB 514;QB 515;QB 516;QB 517;QB 518;QB 519;QB 520;QB 521;QB 522;QB 523;QB 524;QB 525;SEND_BUFFER[2];SEND_BUFFER[3];SEND_BUFFER[4];SEND_BUFFER[5];SEND_BUFFER[6];SEND_BUFFER[7];SEND_BUFFER[8];SEND_BUFFER[9];SEND_BUFFER[10];SEND_BUFFER[11];SEND_BUFFER[12];SEND_BUFFER[13];SEND_BUFFER[14];RCV_BUFFER.SCR_RES.ID_AC[1];RCV_BUFFER.SCR_RES.ID_AC[2];RCV_BUFFER.SCR_RES.ID_AC[3];RCV_BUFFER.SCR_RES.ID_AC[4];RCV_BUFFER.SCR_RES.ID_AC[5];RCV_BUFFER.SCR_RES.ID_AC[6];RCV_BUFFER.SCR_RES.ID_AC[7];RCV_BUFFER.SCR_RES.ID_AC[8];RCV_BUFFER.SCR_RES.ID_AC[9];RCV_BUFFER.SCR_RES.ID_AC[10];RCV_BUFFER.SCR_RES.ID_AC[11];RCV_BUFFER.SCR_RES.ID_AC[12];RCV_BUFFER.SCR_RES.HIGH_RISK_C;RCV_BUFFER.SCR_RES.SPARE_1_C;RCV_BUFFER.SCR_RES.RESULT_AC[1];RCV_BUFFER.SCR_RES.RESULT_AC[2];RCV_BUFFER.SCR_RES.RESULT_AC[3];RCV_BUFFER.SCR_RES.RESULT_AC[4];RCV_BUFFER.SCR_RES.RESULT_AC[5];RCV_BUFFER.SCR_RES.RESULT_AC[6];SEND_BUFFER[1];IB 532;QB 526;QB 527;QB 528;Trigger;Fehler
3614962;25.03.2020;17:10:28.962;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;16;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;16;0;14;48;57;53;48;50;57;53;49;53;50;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3614995;25.03.2020;17:10:28.995;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;17;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;17;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3615073;25.03.2020;17:10:29.073;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;113;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3615120;25.03.2020;17:10:29.120;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3615804;25.03.2020;17:10:29.804;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3619371;25.03.2020;17:10:33.371;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3620988;25.03.2020;17:10:34.988;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3621661;25.03.2020;17:10:35.661;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3621765;25.03.2020;17:10:35.765;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3621798;25.03.2020;17:10:35.798;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3621831;25.03.2020;17:10:35.831;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3623219;25.03.2020;17:10:37.219;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;0;0;14;48;53;57;48;49;54;53;49;48;51;32;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;32;72;32;0;0
3623857;25.03.2020;17:10:37.857;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;57;53;48;50;57;53;49;53;50;32;32;72;32;49;82;50;32;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;32;32;32;32;48;65;0;0;0;0;0
3623892;25.03.2020;17:10:37.892;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3625745;25.03.2020;17:10:39.745;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3627847;25.03.2020;17:10:41.847;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;82;32;32;48;65;0;0;0;0;0
3627884;25.03.2020;17:10:41.884;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3632425;25.03.2020;17:10:46.425;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3635770;25.03.2020;17:10:49.770;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3642411;25.03.2020;17:10:56.411;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3645741;25.03.2020;17:10:59.741;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3652407;25.03.2020;17:11:06.407;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3655737;25.03.2020;17:11:09.737;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3662428;25.03.2020;17:11:16.428;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3665737;25.03.2020;17:11:19.737;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3671915;25.03.2020;17:11:25.915;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
3672063;25.03.2020;17:11:26.063;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
5270940;25.03.2020;17:38:04.940;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
5275675;25.03.2020;17:38:09.675;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
5282342;25.03.2020;17:38:16.342;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
5282755;25.03.2020;17:38:16.755;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
5282866;25.03.2020;17:38:16.866;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;53;57;48;49;54;53;49;48;51;32;32;72;32;49;82;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;82;0;0;0;0;0
