Relativzeit;Datum;Absolutzeit;MACHINE_OK_XB1.190_XR;CODE_REQ_XB1.190_XR;XRAY_READY_XB1.190_XR;SPEED_OK_XB1.190_XR;SPARE_I80.4_XB1.190_XR;POWER_ON_XB1.190_XR;REPAIR_SWITCH_XB1.190_XR;SERVICE_MODE_XB1.190_XR;TRANSIT_MODE_XB1.190_XR;NO_SCAN_ACT_XB1.190_XR;LS3_XB1.190_XR;SPARE_I81.3_XB1.190_XR;ES_RESET_XB1.190_XR;SPARE_I81.5_XB1.190_XR;SPARE_I81.6_XB1.190_XR;SPARE_I81.7_XB1.190_XR;LS0_XB1.190_XR;LS1_XB1.190_XR;SPARE_I82.2_XB1.190_XR;SPARE_I82.3_XB1.190_XR;LS4_XB1.190_XR;SPARE_I82.5_XB1.190_XR;SPARE_I82.6_XB1.190_XR;XB1.190_ESB11-15;IB 512;IB 513;IB 514;IB 515;IB 516;IB 517;IB 518;IB 519;IB 520;IB 521;IB 522;IB 523;IB 524;IB 527;IB 530;QB 512;QB 514;QB 515;QB 516;RCV_BUFFER.SCR_RES.ID_AC[1];RCV_BUFFER.SCR_RES.ID_AC[2];RCV_BUFFER.SCR_RES.ID_AC[3];RCV_BUFFER.SCR_RES.ID_AC[4];RCV_BUFFER.SCR_RES.ID_AC[5];RCV_BUFFER.SCR_RES.ID_AC[6];RCV_BUFFER.SCR_RES.ID_AC[7];RCV_BUFFER.SCR_RES.ID_AC[8];RCV_BUFFER.SCR_RES.ID_AC[9];RCV_BUFFER.SCR_RES.ID_AC[10];RCV_BUFFER.SCR_RES.ID_AC[11];RCV_BUFFER.SCR_RES.ID_AC[12];RCV_BUFFER.SCR_RES.HIGH_RISK_C;RCV_BUFFER.SCR_RES.SPARE_1_C;RCV_BUFFER.SCR_RES.RESULT_AC[1];RCV_BUFFER.SCR_RES.RESULT_AC[2];RCV_BUFFER.SCR_RES.RESULT_AC[3];RCV_BUFFER.SCR_RES.RESULT_AC[4];IB 532;DI_RCV.State;DI_RCV.InSequence;DI_RCV.OutRequest;DI_RCV.OutSequence;DI_RCV.InBuffer[1];DI_RCV.InBuffer[2];DI_RCV.InBuffer[3];DI_RCV.InBuffer[0];DI_RCV.InRequest;DI_RCV.RecieveLength;DI_RCV.CurrentLength;DI_SND.State;DI_SND.InBuffer0;DI_SND.InBuffer1;DI_SND.InBuffer2;DI_SND.InBuffer3;DI_SND.OutBuffer0;DI_SND.OutBuffer1;DI_SND.OutBuffer2;DI_SND.OutBuffer3;DI_RCV.Rack;DI_RCV.Slot;DI_RCV.SubAddr;DI_SND.InRequest;DI_SND.InSequence;DI_SND.OutRequest;DI_SND.OutSequence;DI_SND.RemainingLength;DI_SND.CurrentLength;DI_SND.LastSegmentLength;DI_SND.Rack;DI_SND.Slot;DI_SND.SubAddr;Trigger;Fehler
1463761;06.04.2020;13:09:45.761;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;16;0;0;0;57;57;57;57;57;57;57;57;57;72;65;17;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;1;32;0;0;0;0;16;16;18;18;4;16;0;0;0;17;0;14;48;0;0;0;16;1;16;1;0;14;14;0;0;0;0;0
1463795;06.04.2020;13:09:45.795;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;17;0;0;0;57;57;57;57;57;57;57;57;57;72;65;17;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;1;32;0;0;0;0;17;112;18;18;5;17;0;0;0;17;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1463828;06.04.2020;13:09:45.828;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;57;57;57;57;57;57;57;57;57;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1464650;06.04.2020;13:09:46.650;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;57;57;57;57;57;57;57;57;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1468176;06.04.2020;13:09:50.176;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;57;57;57;57;57;57;57;57;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1469795;06.04.2020;13:09:51.795;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;57;57;57;57;57;57;57;57;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1470523;06.04.2020;13:09:52.523;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;57;57;57;57;57;57;57;57;57;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1470604;06.04.2020;13:09:52.604;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;57;57;57;57;57;57;57;57;57;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1471566;06.04.2020;13:09:53.566;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;57;57;57;57;57;57;57;57;57;72;65;32;0;0;0;32;49;56;48;51;50;53;57;54;55;32;32;72;32;49;65;32;32;84;2;1;32;1;0;1;0;0;32;16;16;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1471611;06.04.2020;13:09:53.611;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;16;16;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1472080;06.04.2020;13:09:54.080;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;16;16;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1474435;06.04.2020;13:09:56.435;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;16;16;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1477164;06.04.2020;13:09:59.164;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;33;0;18;48;49;56;48;51;50;53;57;54;55;72;65;32;0;0;0;48;49;56;48;51;50;53;32;32;32;32;32;32;32;32;32;32;32;82;4;0;32;1;0;18;48;33;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1477198;06.04.2020;13:09:59.198;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1481140;06.04.2020;13:10:03.140;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1484472;06.04.2020;13:10:06.472;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1491132;06.04.2020;13:10:13.132;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1494445;06.04.2020;13:10:16.445;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1501104;06.04.2020;13:10:23.104;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1504456;06.04.2020;13:10:26.456;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1511104;06.04.2020;13:10:33.104;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1514437;06.04.2020;13:10:36.437;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1520435;06.04.2020;13:10:42.435;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1520759;06.04.2020;13:10:42.759;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1605729;06.04.2020;13:12:07.729;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1610437;06.04.2020;13:12:12.437;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1617107;06.04.2020;13:12:19.107;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1617403;06.04.2020;13:12:19.403;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1617522;06.04.2020;13:12:19.522;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1618687;06.04.2020;13:12:20.687;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1618788;06.04.2020;13:12:20.788;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1619489;06.04.2020;13:12:21.489;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;48;0;0;18;18;1;0;0;0;48;0;0;14;48;0;0;0;0;0;16;0;14;14;14;0;0;0;0;0
1619523;06.04.2020;13:12:21.523;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;49;56;48;51;50;53;57;54;55;72;65;16;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;16;18;18;4;16;0;0;0;17;0;14;48;0;0;0;16;0;16;1;0;14;14;0;0;0;0;0
1619556;06.04.2020;13:12:21.556;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;17;0;0;0;49;56;48;51;50;53;57;54;55;72;65;17;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;1;32;0;0;0;0;17;16;18;18;5;17;0;0;0;17;0;14;48;0;0;0;16;1;16;1;0;14;14;0;0;0;0;0
1619601;06.04.2020;13:12:21.601;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;17;0;0;0;49;56;48;51;50;53;57;54;55;72;65;17;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;113;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1619635;06.04.2020;13:12:21.635;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1620092;06.04.2020;13:12:22.092;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1623944;06.04.2020;13:12:25.944;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1625257;06.04.2020;13:12:27.257;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1626052;06.04.2020;13:12:28.052;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1626317;06.04.2020;13:12:28.317;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1627536;06.04.2020;13:12:29.536;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;49;56;48;51;50;53;57;54;55;72;65;0;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;82;1;0;32;0;0;0;0;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
