Index	Name	IsConst	Min	Max	Unique values	Unique values in characters
79	RCV_BUFFER.SCR_RES.ID_AC[6]	False	32	57	[32, 54, 49, 55, 53, 52, 50, 51, 57, 48, 56]	[' ', '6', '1', '7', '5', '4', '2', '3', '9', '0', '8']
80	RCV_BUFFER.SCR_RES.ID_AC[7]	False	32	57	[32, 53, 48, 57, 55, 54, 51, 50, 56, 52]	[' ', '5', '0', '9', '7', '6', '3', '2', '8', '4']
81	RCV_BUFFER.SCR_RES.ID_AC[8]	False	32	57	[32, 49, 54, 53, 52, 51, 55, 56, 57, 48, 50]	[' ', '1', '6', '5', '4', '3', '7', '8', '9', '0', '2']
82	RCV_BUFFER.SCR_RES.ID_AC[9]	False	32	57	[32, 48, 53, 50, 55, 51, 52, 56, 57, 49, 54]	[' ', '0', '5', '2', '7', '3', '4', '8', '9', '1', '6']
83	RCV_BUFFER.SCR_RES.ID_AC[10]	False	32	57	[32, 51, 56, 55, 52, 50, 53, 54, 57, 49, 48]	[' ', '3', '8', '7', '4', '2', '5', '6', '9', '1', '0']
84	RCV_BUFFER.SCR_RES.ID_AC[11]	True			[32]	[' ']
85	RCV_BUFFER.SCR_RES.ID_AC[12]	True			[32]	[' ']
86	RCV_BUFFER.SCR_RES.HIGH_RISK_C	False	32	78	[32, 72, 78]	[' ', 'H', 'N']
87	RCV_BUFFER.SCR_RES.SPARE_1_C	True			[32]	[' ']
88	RCV_BUFFER.SCR_RES.RESULT_AC[1]	False	32	49	[32, 49]	[' ', '1']
89	RCV_BUFFER.SCR_RES.RESULT_AC[2]	False	32	82	[32, 82, 65]	[' ', 'R', 'A']
90	RCV_BUFFER.SCR_RES.RESULT_AC[3]	False	32	50	[32, 50]	[' ', '2']
91	RCV_BUFFER.SCR_RES.RESULT_AC[4]	False	32	84	[32, 82, 84, 65]	[' ', 'R', 'T', 'A']
92	RCV_BUFFER.SCR_RES.RESULT_AC[5]	True			[32]	[' ']
93	RCV_BUFFER.SCR_RES.RESULT_AC[6]	True			[32]	[' ']
94	SEND_BUFFER[1]	False	48	68	[48, 68, 52]	['0', 'D', '4']
95	IB 532	False	65	84	[65, 82, 84]	['A', 'R', 'T']
96	QB 526	False	0	32	[0, 32]	['\x00', ' ']
97	QB 527	False	0	78	[0, 72, 78]	['\x00', 'H', 'N']
98	QB 528	False	0	32	[0, 32]	['\x00', ' ']
99	Trigger	True			[0]	['\x00']
