Relativzeit;Datum;Absolutzeit;Every cycle;CW_DEVICE_READY;CW_NO_READ;CW_GOOD_READ;CW_EXTERNAL_OUTPUT_1;CW_EXTERNAL_OUTPUT_2;CW_RESULT_1;CW_RESULT_2;CW_SYSTEM_READY;CW_EXTERNAL_INPUT_1;CW_EXTERNAL_INPUT_2;CW_SENSOR_1;CW_SENSOR_2;CW_RESERVED_02;CW_RESERVED_03;CW_TRIGGER_SENSOR_NO;CW_TRIGGER_SENSOR_NC;GOOD_READ;NO_READ;DEVICE_READY;SYSTEM_READY;ATR_DO_STATE;HEAD_01;HEAD_03;HEAD_04;HEAD_05;DATA_01;DATA_02;DATA_03;DATA_04;DATA_05;DATA_06;DATA_07;DATA_08;DATA_09;DATA_10;DATA_11;DATA_12;DATA_13;DATA_14;DATA_15;DATA_16;DATA_17;DATA_18;DATA_19;DATA_20;DATA_21;DATA_22;DATA_23;DATA_24;DATA_25;DATA_26;DATA_27;ATR.IN.HEADER.RESERVED_05;ATR.IN.HEADER.BUFFER_OVERRUN;ATR.IN.HEADER.RESERVED_04;ATR.IN.HEADER.RESERVED_03;ATR.IN.HEADER.PLCERROR;ATR.IN.HEADER.HEARTBEAT;ATR.IN.HEADER.RESERVED_02;ATR.IN.HEADER.RESERVED_01;ATR.IN.HEADER.TRANSMIT_COUNT_BACK_B;ATR.IN.HEADER.RECIEVE_LENGTH_LSB_B;ATR.IN.HEADER.RECIEVE_LENGTH_MSB_B;ATR.IN.HEADER.RECIEVE_COUNT_B;BARCODE_AC[1];BARCODE_AC[2];BARCODE_AC[3];BARCODE_AC[4];BARCODE_AC[5];BARCODE_AC[6];BARCODE_AC[7];BARCODE_AC[8];BARCODE_AC[9];BARCODE_AC[10];BARCODE_AC[11];BARCODE_AC[12];Semicolon;??? - DB 413DBB 115;??? - DB 413DBB 101;B_BARCODE_AC[1];B_BARCODE_AC[2];B_BARCODE_AC[3];B_BARCODE_AC[4];B_BARCODE_AC[5];B_BARCODE_AC[6];B_BARCODE_AC[7];B_BARCODE_AC[8];B_BARCODE_AC[9];B_BARCODE_AC[10];B_BARCODE_AC[11];B_BARCODE_AC[12];TG_B.STATUS;xray_machine_ok;xray_ready;xray_power_on;Trigger;Fehler
5803;13.03.2020;09:21:05.803;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;149;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
6565;13.03.2020;09:21:06.565;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
6762;13.03.2020;09:21:06.762;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
6795;13.03.2020;09:21:06.795;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
7769;13.03.2020;09:21:07.769;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
7804;13.03.2020;09:21:07.804;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
8773;13.03.2020;09:21:08.773;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
8806;13.03.2020;09:21:08.806;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
9800;13.03.2020;09:21:09.800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
10790;13.03.2020;09:21:10.790;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
11781;13.03.2020;09:21:11.781;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
11815;13.03.2020;09:21:11.815;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
12762;13.03.2020;09:21:12.762;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
12796;13.03.2020;09:21:12.796;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
13789;13.03.2020;09:21:13.789;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
13822;13.03.2020;09:21:13.822;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
14376;13.03.2020;09:21:14.376;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
14557;13.03.2020;09:21:14.557;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
14795;13.03.2020;09:21:14.795;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
15768;13.03.2020;09:21:15.768;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
15800;13.03.2020;09:21:15.800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
16765;13.03.2020;09:21:16.765;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
16803;13.03.2020;09:21:16.803;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
17797;13.03.2020;09:21:17.797;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
18777;13.03.2020;09:21:18.777;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
18810;13.03.2020;09:21:18.810;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
19767;13.03.2020;09:21:19.767;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
19800;13.03.2020;09:21:19.800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
20791;13.03.2020;09:21:20.791;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
21476;13.03.2020;09:21:21.476;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;0;1;0;0
21785;13.03.2020;09:21:21.785;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;0;1;0;0
21957;13.03.2020;09:21:21.957;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
21991;13.03.2020;09:21:21.991;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
22505;13.03.2020;09:21:22.505;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;0;1;0;0
22787;13.03.2020;09:21:22.787;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;0;1;0;0
22993;13.03.2020;09:21:22.993;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
23774;13.03.2020;09:21:23.774;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
23809;13.03.2020;09:21:23.809;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
24007;13.03.2020;09:21:24.007;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
24777;13.03.2020;09:21:24.777;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
24809;13.03.2020;09:21:24.809;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
25770;13.03.2020;09:21:25.770;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
25802;13.03.2020;09:21:25.802;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
26768;13.03.2020;09:21:26.768;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;13;0;72;72;72;72;72;72;72;72;72;72;72;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;13;0;150;63;63;63;63;63;63;63;63;63;63;32;32;59;0;0;72;72;72;72;72;72;72;72;72;72;72;32;32;1;1;1;0;0
